# Cartographie complète des réponses générée le 2025-11-14T15:16:58-05:00
# Champ | Valeur | Libellé | Définie | Observée | Section | Origine
type_demande |  | -- Sélectionnez -- | oui | 0 | Type de demande | index.php:getFieldDefinitions:type_demande
type_demande | Refinancement sans changement | Refinancement/Renouvellement hypothécaire sans changements | oui | 3 | Type de demande | index.php:getFieldDefinitions:type_demande
type_demande | Refinancement avec ajout | Refinancement/Renouvellement avec ajout d’un montant | oui | 5 | Type de demande | index.php:getFieldDefinitions:type_demande
type_demande | Nouvel achat propriétaire occupant | Nouvel achat propriétaire occupant | oui | 8 | Type de demande | index.php:getFieldDefinitions:type_demande
type_demande | Nouvel achat duplex occupant/locatif | Nouvel achat duplex et + propriétaire occupant et locatif | oui | 2 | Type de demande | index.php:getFieldDefinitions:type_demande
type_demande | Nouvel achat 100% locatif | Nouvel achat 100% locatif | oui | 1 | Type de demande | index.php:getFieldDefinitions:type_demande
type_demande | Nouvel achat duplex locatif | Nouvel achat duplex locatif | non | 1 | Type de demande | index.php:getFieldDefinitions:type_demande
bilan_process |  | -- Sélectionnez -- | oui | 0 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_process | renseignement_attente_taux | J'ai déjà commencé à me renseigner mais je n'ai pas reçu un super deal de taux et j'attends de trouver le taux le plus bas avant de m'embarquer | oui | 2 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_process | taux_fonctionnel | Je veux juste un taux qui fonctionne pour mon projet et je suis prêt(e) à avancer si on m'offre un bon service et qu'on trouve une solution avantageuse pour moi | oui | 2 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_process | accompagnement_personnalise | Je veux qu'on m'aide à trouver quelque chose de bien, avec un accompagnement personnalisé | oui | 7 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_process | prequalification_existante | J’ai déjà une préqualification ou offre verbale, je souhaite la fournir | oui | 4 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_process | offre_meilleure | Je n'ai pas encore regardé, mais si je vois une offre, je veux qu'on m'en propose mieux | oui | 4 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_process | reference_lorianne | J'ai été référée et j'ai entendu du bien de Lorianne courtier hypothécaire | oui | 1 | Bilan | index.php:getFieldDefinitions:bilan_process
bilan_importance |  | -- Sélectionnez -- | oui | 0 | Bilan | index.php:getFieldDefinitions:bilan_importance
bilan_importance | service_accompagnement | Le service, l’accompagnement et une solution adaptée | oui | 14 | Bilan | index.php:getFieldDefinitions:bilan_importance
bilan_importance | taux_bas | Le taux le plus bas, peu importe le reste | oui | 6 | Bilan | index.php:getFieldDefinitions:bilan_importance
bilan_offre |  | -- Sélectionnez -- | oui | 0 | Bilan | index.php:getFieldDefinitions:bilan_offre
bilan_offre | oui_meilleure_option | Oui, si c’est la meilleure option pour moi | oui | 6 | Bilan | index.php:getFieldDefinitions:bilan_offre
bilan_offre | voir_plusieurs_offres | Je préfère voir plusieurs offres avant de me décider | oui | 8 | Bilan | index.php:getFieldDefinitions:bilan_offre
bilan_offre | battre_offre_existante | Seulement si vous pouvez battre l'offre que j'ai déjà reçue | oui | 5 | Bilan | index.php:getFieldDefinitions:bilan_offre
bilan_offre | service_accompagnement_bien | Oui, avec un bon service et accompagnement | oui | 1 | Bilan | index.php:getFieldDefinitions:bilan_offre
bilan_offre | peutetre_et_autres | Peut-être, mais je vais aussi voir ailleurs | oui | 0 | Bilan | index.php:getFieldDefinitions:bilan_offre
bilan_offre_preexistante |  | -- Sélectionnez -- | oui | 0 | Bilan | index.php:getFieldDefinitions:bilan_offre_preexistante
bilan_offre_preexistante | oui_battre_taux | Oui, mais je veux voir si vous pouvez battre leur taux | oui | 6 | Bilan | index.php:getFieldDefinitions:bilan_offre_preexistante
bilan_offre_preexistante | oui_service | Oui, j'ai déjà commencé avec un autre courtier mais je souhaite un meilleur service | oui | 10 | Bilan | index.php:getFieldDefinitions:bilan_offre_preexistante
bilan_offre_preexistante | non | Non, je veux explorer mes options avec vous | oui | 4 | Bilan | index.php:getFieldDefinitions:bilan_offre_preexistante
bilan_documents_rassembles |  | -- Sélectionnez -- | oui | 0 | Bilan | index.php:getFieldDefinitions:bilan_documents_rassembles
